1737594747112,51.0,1737594747.112
1737594748112,55.0,1.0
1737594749112,59.0,1.0
1737594750112,62.0,1.0
1737594751112,63.0,1.0
1737594752112,66.0,1.0
1737594753112,67.0,1.0
1737594754112,71.0,1.0
1737594755112,72.0,1.0
1737594756112,77.0,1.0
1737594757112,80.0,1.0
1737594758112,85.0,1.0
1737594759112,87.0,1.0
1737594760112,91.0,1.0
1737594761112,90.0,1.0
1737594762112,91.0,1.0
1737594763112,92.0,1.0
1737594764112,92.0,1.0
1737594765112,94.0,1.0
1737594766112,98.0,1.0
1737594767112,100.0,1.0
1737594768112,101.0,1.0
1737594769112,103.0,1.0
1737594770112,103.0,1.0
1737594771112,100.0,1.0
1737594772112,97.0,1.0
1737594773112,98.0,1.0
1737594774112,97.0,1.0
1737594775112,97.0,1.0
1737594776112,96.0,1.0
